Price.Index.Opening.Value,Price.Index.Max.Value,Price.Index.Min.Value,Price.Index.End.Value,Traded.Volume,Traded.Amount
59727.42,60662.13,59727.42,60328.94,1726011526.63,460810000
60586.76,60718.93,60025.74,60404.33,1568744148.26,469780000
60564.12,60950.85,60467.05,60737.28,1435146882.52,431500000
60530.41,60581.9,59178.18,59866.75,1617005178.9,372080000
60335.58,60792.04,59953.31,60693.24,1259481987.38,378210000
60726.54,60726.54,59777.94,60078.5,1274432387.91,339590000
59894.01,60582.16,59803.41,59880.68,1651107324.45,464340000
59892.68,60137.08,58967.43,59603.14,1491853145.53,384670000
59897.47,60358.31,59181.94,59753.02,1234811158.5,303820000
60344.19,60441.82,59803.96,59885.66,1139664984.04,317750000
59730.52,59759.06,58871.14,59169.61,1134576176.15,329040000
58690.89,58853.98,57654.55,58154.66,1244979149.32,325730000
58172.09,58507.02,57955.18,58383.71,1281449706.34,340680000
58779.81,59051.97,58098.09,58479.86,1091937512.24,316380000
58611.4,58929.16,58122.18,58822.82,1008939572.26,277340000
58977.04,59624.6,58874.41,59462.92,1437869911.89,378910000
59386.98,59763.92,58952.93,59443.43,1396174405.99,485280000
59623.23,59854.65,58595.39,58849.39,1411683318.26,419010000
58721.07,59025.65,58370.46,58749.93,1204132006.57,320590000
58720,59103.55,58407.34,58890.46,1002363676.61,264350000
58654.42,58736.22,58017.46,58623.2,1106407334.35,305280000
58475.4,59053.85,57927.41,58285.65,1205032002.45,329250000
58484.97,59058.09,58349.86,59058.09,1036597115.5,313480000
59064.99,59604.7,58996.02,59345.93,1365056553.53,336520000
58972.91,59972.59,58811.03,59972.59,1376851965.64,370050000
60099.54,60761.84,59534.92,60685.5,1681326170.73,415970000
60753.92,60955,60394.97,60865.73,1430959501.64,397580000
60921.4,61253.85,60673.97,60998.84,1475970316.99,428800000
60999.73,61174.18,60590.39,61100.96,906829746.13,236900000
60871.58,61110.19,60433.42,60746.75,1023689339.95,213650000
60562.81,60813.47,60312.29,60608.08,438720819.36,122670000
61905.08,62260.11,61434.16,62260.11,1843716351.55,508720000
62199.23,62503.22,61972.03,62478.98,1593949503.91,498910000
62455.94,63397.71,62302.73,63397.71,2419596235.5,704220000
63119.69,63732.81,62830.13,63732.81,1932656130.56,570800000
64049.7,64447.56,63495.63,63862.03,2486703070.73,617070000
63973.82,64289.57,63486.34,64289.57,1411430908.09,494270000
64394.42,64495.31,63899.88,64124.73,1686360287.22,490410000
64123.55,64897.77,63681.08,64479.14,2037487664.45,540080000
64559.28,64732.42,63354.21,64192.6,2531715006.46,623180000
64058.31,64373.69,63646.26,64241.48,1510690265.89,392740000
64476.99,64920.67,64231.09,64627.29,2050138839.06,557270000
64406.01,65589.87,64294.37,65589.87,2207534163.51,649310000
65608.53,66121.97,65186.59,65551.38,2343051955.42,594650000
65391.4,66068.21,65262.58,65774.37,2107820396.26,536910000
65762.55,66065.09,64726.91,64882.72,1745505889.18,456470000
64980.51,65730.66,64709.13,65414.95,1487968908.22,442850000
65522,66473.39,65264.67,66283.23,2296311951.26,637250000
66726.51,67231.7,66573.58,66879.74,2170680305.06,630840000
